anomaly,date
-0.461,1882/12/01
-0.414,1883/01/01
-0.319,1883/02/01
-0.335,1883/03/01
-0.382,1883/04/01
-0.248,1883/05/01
-0.106,1883/06/01
-0.197,1883/07/01
-0.209,1883/08/01
-0.279,1883/09/01
-0.384,1883/10/01
-0.3,1883/11/01
-0.311,1883/12/01
-0.398,1884/01/01
-0.202,1884/02/01
-0.452,1884/03/01
-0.523,1884/04/01
-0.39,1884/05/01
-0.411,1884/06/01
-0.428,1884/07/01
-0.415,1884/08/01
-0.339,1884/09/01
-0.315,1884/10/01
-0.544,1884/11/01
-0.408,1884/12/01
-0.503,1885/01/01
-0.404,1885/02/01
-0.468,1885/03/01
-0.458,1885/04/01
-0.506,1885/05/01
-0.475,1885/06/01
-0.308,1885/07/01
-0.512,1885/08/01
-0.327,1885/09/01
-0.239,1885/10/01
-0.247,1885/11/01
-0.145,1885/12/01
-0.39,1886/01/01
-0.444,1886/02/01
-0.405,1886/03/01
-0.327,1886/04/01
-0.175,1886/05/01
-0.38,1886/06/01
-0.286,1886/07/01
-0.341,1886/08/01
-0.433,1886/09/01
-0.359,1886/10/01
-0.416,1886/11/01
-0.414,1886/12/01
-0.566,1887/01/01
-0.543,1887/02/01
-0.458,1887/03/01
-0.429,1887/04/01
-0.35,1887/05/01
-0.395,1887/06/01
-0.262,1887/07/01
-0.363,1887/08/01
-0.343,1887/09/01
-0.506,1887/10/01
-0.404,1887/11/01
-0.387,1887/12/01
-0.597,1888/01/01
-0.448,1888/02/01
-0.55,1888/03/01
-0.233,1888/04/01
-0.337,1888/05/01
-0.282,1888/06/01
-0.302,1888/07/01
-0.281,1888/08/01
-0.213,1888/09/01
-0.105,1888/10/01
-0.198,1888/11/01
-0.16,1888/12/01
-0.055,1889/01/01
-0.085,1889/02/01
-0.07,1889/03/01
0.006,1889/04/01
-0.082,1889/05/01
-0.159,1889/06/01
-0.202,1889/07/01
-0.229,1889/08/01
-0.384,1889/09/01
-0.299,1889/10/01
-0.395,1889/11/01
-0.165,1889/12/01
-0.311,1890/01/01
-0.368,1890/02/01
-0.458,1890/03/01
-0.316,1890/04/01
-0.429,1890/05/01
-0.374,1890/06/01
-0.416,1890/07/01
-0.428,1890/08/01
-0.488,1890/09/01
-0.506,1890/10/01
-0.574,1890/11/01
-0.411,1890/12/01
-0.506,1891/01/01
-0.473,1891/02/01
-0.379,1891/03/01
-0.372,1891/04/01
-0.205,1891/05/01
-0.308,1891/06/01
-0.341,1891/07/01
-0.324,1891/08/01
-0.196,1891/09/01
-0.33,1891/10/01
-0.546,1891/11/01
-0.112,1891/12/01
-0.417,1892/01/01
-0.11,1892/02/01
-0.459,1892/03/01
-0.493,1892/04/01
-0.41,1892/05/01
-0.454,1892/06/01
-0.539,1892/07/01
-0.452,1892/08/01
-0.332,1892/09/01
-0.448,1892/10/01
-0.618,1892/11/01
-0.79,1892/12/01
-0.953,1893/01/01
-0.72,1893/02/01
-0.378,1893/03/01
-0.575,1893/04/01
-0.569,1893/05/01
-0.48,1893/06/01
-0.29,1893/07/01
-0.285,1893/08/01
-0.451,1893/09/01
-0.277,1893/10/01
-0.432,1893/11/01
-0.358,1893/12/01
-0.452,1894/01/01
-0.388,1894/02/01
-0.388,1894/03/01
-0.381,1894/04/01
-0.428,1894/05/01
-0.495,1894/06/01
-0.318,1894/07/01
-0.351,1894/08/01
-0.475,1894/09/01
-0.448,1894/10/01
-0.422,1894/11/01
-0.402,1894/12/01
-0.484,1895/01/01
-0.705,1895/02/01
-0.531,1895/03/01
-0.41,1895/04/01
-0.418,1895/05/01
-0.33,1895/06/01
-0.362,1895/07/01
-0.261,1895/08/01
-0.282,1895/09/01
-0.336,1895/10/01
-0.304,1895/11/01
-0.322,1895/12/01
-0.231,1896/01/01
-0.23,1896/02/01
-0.381,1896/03/01
-0.351,1896/04/01
-0.211,1896/05/01
-0.124,1896/06/01
-0.115,1896/07/01
-0.07,1896/08/01
-0.121,1896/09/01
-0.127,1896/10/01
-0.292,1896/11/01
-0.031,1896/12/01
-0.207,1897/01/01
-0.128,1897/02/01
-0.272,1897/03/01
-0.061,1897/04/01
-0.027,1897/05/01
-0.158,1897/06/01
-0.161,1897/07/01
-0.161,1897/08/01
-0.141,1897/09/01
-0.265,1897/10/01
-0.457,1897/11/01
-0.483,1897/12/01
-0.067,1898/01/01
-0.372,1898/02/01
-0.737,1898/03/01
-0.566,1898/04/01
-0.475,1898/05/01
-0.318,1898/06/01
-0.373,1898/07/01
-0.301,1898/08/01
-0.329,1898/09/01
-0.561,1898/10/01
-0.451,1898/11/01
-0.364,1898/12/01
-0.211,1899/01/01
-0.503,1899/02/01
-0.544,1899/03/01
-0.344,1899/04/01
-0.313,1899/05/01
-0.391,1899/06/01
-0.291,1899/07/01
-0.155,1899/08/01
-0.146,1899/09/01
-0.186,1899/10/01
0.04,1899/11/01
-0.45,1899/12/01
-0.228,1900/01/01
-0.156,1900/02/01
-0.284,1900/03/01
-0.239,1900/04/01
-0.281,1900/05/01
-0.177,1900/06/01
-0.198,1900/07/01
-0.19,1900/08/01
-0.228,1900/09/01
-0.068,1900/10/01
-0.259,1900/11/01
-0.091,1900/12/01
-0.171,1901/01/01
-0.275,1901/02/01
-0.262,1901/03/01
-0.196,1901/04/01
-0.198,1901/05/01
-0.162,1901/06/01
-0.199,1901/07/01
-0.213,1901/08/01
-0.365,1901/09/01
-0.302,1901/10/01
-0.446,1901/11/01
-0.458,1901/12/01
-0.251,1902/01/01
-0.277,1902/02/01
-0.404,1902/03/01
-0.457,1902/04/01
-0.417,1902/05/01
-0.463,1902/06/01
-0.396,1902/07/01
-0.374,1902/08/01
-0.375,1902/09/01
-0.478,1902/10/01
-0.53,1902/11/01
-0.521,1902/12/01
-0.263,1903/01/01
-0.193,1903/02/01
-0.344,1903/03/01
-0.466,1903/04/01
-0.464,1903/05/01
-0.552,1903/06/01
-0.495,1903/07/01
-0.6,1903/08/01
-0.529,1903/09/01
-0.659,1903/10/01
-0.623,1903/11/01
-0.596,1903/12/01
-0.642,1904/01/01
-0.604,1904/02/01
-0.654,1904/03/01
-0.549,1904/04/01
-0.541,1904/05/01
-0.527,1904/06/01
-0.532,1904/07/01
-0.491,1904/08/01
-0.494,1904/09/01
-0.476,1904/10/01
-0.392,1904/11/01
-0.415,1904/12/01
-0.479,1905/01/01
-0.678,1905/02/01
-0.458,1905/03/01
-0.546,1905/04/01
-0.347,1905/05/01
-0.336,1905/06/01
-0.305,1905/07/01
-0.315,1905/08/01
-0.329,1905/09/01
-0.38,1905/10/01
-0.233,1905/11/01
-0.204,1905/12/01
-0.08,1906/01/01
-0.244,1906/02/01
-0.295,1906/03/01
-0.11,1906/04/01
-0.344,1906/05/01
-0.297,1906/06/01
-0.325,1906/07/01
-0.334,1906/08/01
-0.399,1906/09/01
-0.377,1906/10/01
-0.452,1906/11/01
-0.302,1906/12/01
-0.464,1907/01/01
-0.527,1907/02/01
-0.339,1907/03/01
-0.516,1907/04/01
-0.564,1907/05/01
-0.532,1907/06/01
-0.408,1907/07/01
-0.467,1907/08/01
-0.424,1907/09/01
-0.364,1907/10/01
-0.588,1907/11/01
-0.542,1907/12/01
-0.434,1908/01/01
-0.424,1908/02/01
-0.636,1908/03/01
-0.545,1908/04/01
-0.471,1908/05/01
-0.488,1908/06/01
-0.487,1908/07/01
-0.549,1908/08/01
-0.476,1908/09/01
-0.605,1908/10/01
-0.601,1908/11/01
-0.579,1908/12/01
-0.572,1909/01/01
-0.546,1909/02/01
-0.694,1909/03/01
-0.611,1909/04/01
-0.596,1909/05/01
-0.517,1909/06/01
-0.584,1909/07/01
-0.338,1909/08/01
